ISO_Year,ISO_Week,ISO_Week_Start_Date,LandingPage_Group,Channel_Group,Device_Group,FF_Purchase_Event_Count,FF_Lead_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,FF_HRSubmit_Event_Count,HR_Submit_Event_New_Traveler_Lead_Count
2023,28,2023-07-10,.Home,SEO,NON-MOBILE,295,688,1046,1466,2245,0,0
2023,28,2023-07-10,.Home,Undefined,MOBILE,3,8,21,2,16,0,0
2023,28,2023-07-10,.Home,Undefined,NON-MOBILE,4,5,6,20,47,0,0
2023,28,2023-07-10,.LYP,Direct,MOBILE,286,808,0,2,14,0,0
2023,28,2023-07-10,.LYP,Direct,NON-MOBILE,192,371,0,0,16,0,0
2023,28,2023-07-10,.LYP,Other,MOBILE,0,43,0,0,0,0,0
2023,28,2023-07-10,.LYP,Other,NON-MOBILE,6,20,0,0,6,0,0
2023,28,2023-07-10,.LYP,Paid,MOBILE,31,104,2,3,18,0,0
2023,28,2023-07-10,.LYP,Paid,NON-MOBILE,65,134,4,4,19,0,0
2023,28,2023-07-10,.LYP,SEO,MOBILE,29,68,3,0,3,0,0
2023,28,2023-07-10,.LYP,SEO,NON-MOBILE,63,130,0,0,4,0,0
2023,28,2023-07-10,.LYP,Undefined,MOBILE,11,33,0,0,0,0,0
2023,28,2023-07-10,.LYP,Undefined,NON-MOBILE,8,13,0,0,2,0,0
2023,28,2023-07-10,.Other,Direct,MOBILE,43,183,73,103,124,0,0
2023,28,2023-07-10,.Other,Direct,NON-MOBILE,80,203,91,182,305,0,0
2023,28,2023-07-10,.Other,Other,MOBILE,2,18,4,4,8,0,0
2023,28,2023-07-10,.Other,Other,NON-MOBILE,11,31,15,37,70,0,0
2023,28,2023-07-10,.Other,Paid,MOBILE,50,258,123,141,321,0,0
2023,28,2023-07-10,.Other,Paid,NON-MOBILE,85,262,241,318,356,0,0
2023,28,2023-07-10,.Other,SEO,MOBILE,16,77,43,29,61,0,0
2023,28,2023-07-10,.Other,SEO,NON-MOBILE,92,281,177,287,527,0,0
2023,28,2023-07-10,.Other,Undefined,MOBILE,4,11,10,9,43,0,0
2023,28,2023-07-10,.Other,Undefined,NON-MOBILE,1,4,8,16,11,0,0
