Brand Name,Category,Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
Furnished Finder,Brand,2024-01-22,You,80.38, --, --,98.07,83.1, --
Furnished Finder,Brand,2024-01-23,You,81.67, --, --,98.33,82.78, --
Furnished Finder,Brand,2024-01-28,hellolanding.com,18.5,20.69,47.81,93.16,44.12,73.7
Furnished Finder,Brand,2024-01-28,airbnb.com,< 10%,8.63,45.82,92.9,38.69,78.56
Furnished Finder,Brand,2024-01-25,hellolanding.com,12.38,14.15,34.53,93.52,31.94,78.27
Furnished Finder,Brand,2024-01-25,apartmentlist.com,< 10%,7.44,12.2,96.58,10.17,81.54
Furnished Finder,Brand,2024-01-28,You,81.79, --, --,98.13,77.07, --
Furnished Finder,Brand,2024-01-29,You,81.37, --, --,98.18,76.18, --
Furnished Finder,Brand,2024-01-29,apartmentlist.com,< 10%,7.64,19.52,95.78,15.52,80.16
Furnished Finder,Brand,2024-01-28,apartmentlist.com,< 10%,9.0,17.39,95.95,12.93,80.51
Furnished Finder,Brand,2024-02-04,apartmentlist.com,< 10%,7.38,20.44,93.71,14.02,82.59
Furnished Finder,Brand,2024-02-04,hellolanding.com,17.92,19.89,44.84,92.02,38.22,76.38
Furnished Finder,Brand,2024-02-08,airbnb.com,19.43,21.33,42.99,92.77,37.85,76.12
Furnished Finder,Brand,2024-02-04,favoes.com,18.22,21.34,9.37,98.97,6.86,82.18
Furnished Finder,Brand,2024-02-08,favoes.com,25.44,29.86,11.99,99.03,9.58,80.81
Furnished Finder,Brand,2024-02-04,airbnb.com,16.16,17.48,36.67,91.85,29.46,78.48
Furnished Finder,Brand,2024-02-04,You,83.85, --, --,97.8,66.78, --
Furnished Finder,Brand,2024-02-08,apartmentlist.com,< 10%,5.63,20.58,95.31,15.16,82.84
Furnished Finder,Brand,2024-02-08,hellolanding.com,12.1,13.26,36.86,92.58,30.9,79.71
Furnished Finder,Brand,2024-02-08,You,83.81, --, --,97.83,71.07, --
Furnished Finder,Brand,2024-02-03,You,84.14, --, --,98.11,66.53, --
Furnished Finder,Brand,2024-02-03,hellolanding.com,20.12,22.24,47.23,94.58,41.7,75.31
Furnished Finder,Brand,2024-02-03,airbnb.com,15.43,16.47,33.79,92.48,27.59,79.46
Furnished Finder,Brand,2024-02-03,apartmentlist.com,< 10%,7.17,15.73,94.69,12.03,83.19
Furnished Finder,Brand,2024-02-03,favoes.com,20.76,24.31,9.62,99.17,7.22,82.18
Furnished Finder,Brand,2024-02-02,apartmentlist.com,< 10%,6.83,17.97,94.08,13.56,82.63
Furnished Finder,Brand,2024-02-02,hellolanding.com,18.28,20.42,44.24,93.98,39.58,76.1
Furnished Finder,Brand,2024-02-13,apartmentlist.com,< 10%,7.26,21.85,95.08,15.63,82.44
Furnished Finder,Brand,2024-02-12,apartmentlist.com,< 10%,6.52,21.39,93.68,15.33,81.04
Furnished Finder,Brand,2024-02-05,airbnb.com,13.66,14.77,34.23,90.25,28.94,79.17
Furnished Finder,Brand,2024-02-11,airbnb.com,17.11,18.32,44.2,92.8,37.9,78.0
Furnished Finder,Brand,2024-02-13,airbnb.com,17.34,18.91,46.65,93.69,40.51,76.38
Furnished Finder,Brand,2024-02-05,You,83.38, --, --,97.75,71.65, --
Furnished Finder,Brand,2024-02-11,You,84.87, --, --,97.75,70.93, --
Furnished Finder,Brand,2024-02-13,You,83.77, --, --,98.18,70.8, --
Furnished Finder,Brand,2024-02-12,airbnb.com,17.06,19.0,44.14,94.14,38.16,75.29
Furnished Finder,Brand,2024-02-05,favoes.com,18.12,21.29,9.8,98.89,7.39,81.64
Furnished Finder,Brand,2024-02-02,favoes.com,19.1,22.34,7.39,99.16,5.24,82.27
Furnished Finder,Brand,2024-02-12,favoes.com,15.13,18.12,11.24,99.25,9.03,80.51
Furnished Finder,Brand,2024-02-05,hellolanding.com,16.47,18.52,39.17,91.8,34.15,77.33
Furnished Finder,Brand,2024-02-11,favoes.com,17.15,19.72,14.4,98.77,11.05,82.46
Furnished Finder,Brand,2024-02-05,apartmentlist.com,< 10%,6.34,18.25,94.38,13.91,82.42
Furnished Finder,Brand,2024-02-02,airbnb.com,16.77,18.33,41.58,94.19,36.36,77.28
Furnished Finder,Brand,2024-02-02,You,83.65, --, --,98.49,71.56, --
Furnished Finder,Brand,2024-02-11,apartmentlist.com,< 10%,7.18,21.3,92.37,15.95,83.57
Furnished Finder,Brand,2024-02-12,hellolanding.com,13.24,14.93,38.77,92.3,32.54,77.42
Furnished Finder,Brand,2024-02-13,hellolanding.com,15.2,16.81,35.87,91.84,31.6,78.72
Furnished Finder,Brand,2024-02-12,You,82.18, --, --,98.17,72.46, --
Furnished Finder,Brand,2024-02-11,hellolanding.com,13.57,14.98,36.76,92.41,31.73,80.2
Furnished Finder,Brand,2024-02-13,favoes.com,23.18,27.04,14.33,98.85,11.9,80.52
Furnished Finder,Brand,2024-02-07,hellolanding.com,10.82,11.9,34.02,94.12,29.77,80.06
Furnished Finder,Brand,2024-02-10,apartmentlist.com,< 10%,6.57,23.39,93.58,17.57,82.65
Furnished Finder,Brand,2024-02-01,hellolanding.com,16.37,18.43,51.25,96.42,45.93,75.48
Furnished Finder,Brand,2024-02-07,airbnb.com,14.42,15.62,34.23,92.06,29.27,78.97
Furnished Finder,Brand,2024-02-06,You,84.09, --, --,98.0,72.77, --
Furnished Finder,Brand,2024-02-07,You,83.44, --, --,98.08,74.78, --
Furnished Finder,Brand,2024-02-09,hellolanding.com,13.26,14.67,34.5,92.91,29.41,80.13
Furnished Finder,Brand,2024-02-06,apartmentlist.com,< 10%,5.61,17.89,95.21,12.67,83.25
Furnished Finder,Brand,2024-02-10,You,83.94, --, --,97.91,73.2, --
Furnished Finder,Brand,2024-02-14,airbnb.com,16.78,18.38,50.99,94.65,44.98,75.66
Furnished Finder,Brand,2024-02-07,favoes.com,28.3,33.39,12.39,99.19,10.5,79.98
Furnished Finder,Brand,2024-02-01,favoes.com,13.47,15.92,8.2,99.41,6.31,82.27
Furnished Finder,Brand,2024-02-07,apartmentlist.com,< 10%,5.79,18.55,92.28,13.96,82.54
Furnished Finder,Brand,2024-02-01,airbnb.com,18.67,20.59,44.53,94.79,38.45,75.72
Furnished Finder,Brand,2024-02-14,favoes.com,24.49,28.6,14.13,99.05,11.04,80.11
Furnished Finder,Brand,2024-02-01,You,83.36, --, --,98.31,69.66, --
Furnished Finder,Brand,2024-02-01,apartmentlist.com,< 10%,6.27,16.73,94.62,11.61,82.48
Furnished Finder,Brand,2024-02-06,airbnb.com,14.98,16.2,36.86,92.01,32.4,79.07
Furnished Finder,Brand,2024-02-09,favoes.com,22.67,26.34,10.63,99.12,8.38,82.04
Furnished Finder,Brand,2024-02-10,hellolanding.com,13.08,14.48,33.45,92.52,29.4,79.87
Furnished Finder,Brand,2024-02-09,airbnb.com,16.0,17.2,40.46,92.84,35.23,78.53
Furnished Finder,Brand,2024-02-06,hellolanding.com,14.52,16.11,37.72,94.68,33.22,78.98
Furnished Finder,Brand,2024-02-09,apartmentlist.com,< 10%,7.08,21.31,93.99,17.6,83.13
Furnished Finder,Brand,2024-02-10,airbnb.com,18.38,19.81,39.12,92.24,33.69,77.43
Furnished Finder,Brand,2024-02-09,You,84.4, --, --,97.96,72.22, --
Furnished Finder,Brand,2024-02-14,hellolanding.com,13.95,15.66,42.48,92.7,37.22,77.93
Furnished Finder,Brand,2024-02-14,apartmentlist.com,< 10%,6.78,21.88,92.24,15.86,82.25
Furnished Finder,Brand,2024-02-14,You,83.49, --, --,98.21,68.31, --
Furnished Finder,Brand,2024-02-06,favoes.com,26.41,30.92,14.09,99.34,11.83,80.43
Furnished Finder,Brand,2024-02-10,favoes.com,19.98,23.42,8.93,98.82,6.59,82.18
Furnished Finder,Brand,2024-02-15,apartmentlist.com,< 10%,8.5,27.6,92.47,20.02,82.45
Furnished Finder,Brand,2024-02-15,hometogo.com,< 10%,1.97,20.82,59.65,7.89,84.08
Furnished Finder,Brand,2024-02-15,favoes.com,22.77,26.18,17.38,99.23,13.17,80.59
Furnished Finder,Brand,2024-02-19,apartmentlist.com,< 10%,6.6,46.48,95.11,26.58,71.66
Furnished Finder,Brand,2024-02-19,hometogo.com,< 10%,1.58,42.55,52.62,5.76,73.42
Furnished Finder,Brand,2024-02-19,favoes.com,18.52,24.27,20.41,98.9,16.22,70.26
Furnished Finder,Brand,2024-02-15,You,84.43, --, --,97.7,67.79, --
Furnished Finder,Brand,2024-02-15,airbnb.com,16.06,16.76,51.18,94.08,42.6,77.19
Furnished Finder,Brand,2024-02-15,hellolanding.com,14.63,15.92,52.88,93.46,43.11,77.32
Furnished Finder,Brand,2024-02-23,apartmentlist.com,< 10%,5.59,51.94,95.28,27.61,70.08
Furnished Finder,Brand,2024-02-23,hometogo.com,< 10%,2.07,49.44,53.88,7.65,71.44
Furnished Finder,Brand,2024-02-23,favoes.com,19.57,26.14,29.85,98.49,22.69,66.55
Furnished Finder,Brand,2024-02-19,You,73.92, --, --,93.34,69.11, --
Furnished Finder,Brand,2024-02-19,airbnb.com,20.62,15.26,55.81,88.74,37.01,67.63
Furnished Finder,Brand,2024-02-19,hellolanding.com,13.4,11.97,57.38,92.46,49.8,68.85
Furnished Finder,Brand,2024-02-27,apartmentlist.com,10.56,6.04,47.4,94.0,23.13,65.21
