Date,Source,Medium,Campaign,Device,Sessions,TotalUsers,NewUsers,FF_Purchase_Event_Count,FF_Lead_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,FF_HRSubmit_Event_Count,HR_Submit_Event_New_Traveler_Lead_Count,Impressions,Impression_population,Clicks,Cost,Total Traveler Actions,Traveler Value,Landlord Value,Channel_Group
20230925,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20230928,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20230930,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,5,0,0,0,0.0,0,0.0,5,10,0,Paid Social + Display
20231002,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,4,0,0,0,0,0.0,0,0.0,4,8,0,Paid Social + Display
20231004,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,3,2,0,0,0,0.0,0,0.0,5,10,0,Paid Social + Display
20231006,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20231009,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,3,5,0,0,0,0.0,0,0.0,8,16,0,Paid Social + Display
20231011,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,4,13,2,0,0,0,0.0,0,0.0,19,38,0,Paid Social + Display
20231013,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20231014,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,3,0,0,0,0,0.0,0,0.0,3,6,0,Paid Social + Display
20231016,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20231018,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,7,0,0,1,0,0.0,0,0.0,8,16,0,Paid Social + Display
20231028,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,3,0,0,0,0,0.0,0,0.0,3,6,0,Paid Social + Display
20231030,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,3,0,0,0,0,0.0,0,0.0,3,6,0,Paid Social + Display
20231104,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20231105,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20231110,google,cpc,Display - Retargeting,mobile,0,0,0,0,1,0,5,0,0,0,0,0.0,0,0.0,5,10,0,Paid Social + Display
20231111,google,cpc,Display - Retargeting,mobile,0,0,0,0,1,0,3,0,0,0,0,0.0,0,0.0,3,6,0,Paid Social + Display
20231112,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20231124,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,3,0,0,0,0,0.0,0,0.0,3,6,0,Paid Social + Display
20231125,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,4,0,0,0,0,0.0,0,0.0,4,8,0,Paid Social + Display
20231203,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,0,0,4,0,0.0,0,0.0,4,8,0,Paid Social + Display
20231210,google,cpc,Display - Retargeting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20231214,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,4,1,0,0,0,0.0,0,0.0,5,10,0,Paid Social + Display
20240717,google,cpc,Display - Prospecting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240718,google,cpc,Display - Prospecting,desktop,0,0,0,1,13,0,0,0,0,1,0,0.0,0,0.0,1,2,240,Paid Social + Display
20240718,google,cpc,Display - Prospecting,mobile,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240719,google,cpc,Display - Prospecting,desktop,0,0,0,11,16,0,0,0,0,2,0,0.0,0,0.0,2,4,2640,Paid Social + Display
20240719,google,cpc,Display - Prospecting,mobile,0,0,0,0,3,0,0,0,0,2,0,0.0,0,0.0,2,4,0,Paid Social + Display
