iso_yr_week,sem_brand_new_leads,seo_new_leads,direct_new_leads,sem_brand_impression_share,sem_brand_new_properties,seo_new_properties,direct_new_properties,sem_brand_leads_lag_3,sem_brand_leads_lag_4,sem_brand_leads_lag_5,sem_brand_leads_lag_6,sem_brand_leads_lag_7,sem_brand_leads_lag_8,sem_brand_leads_lag_9,sem_brand_leads_lag_10,sem_brand_leads_lag_11,sem_brand_impression_share_lag_3,sem_brand_impression_share_lag_4,sem_brand_impression_share_lag_5,sem_brand_impression_share_lag_6,sem_brand_impression_share_lag_7,sem_brand_impression_share_lag_8,sem_brand_impression_share_lag_9,sem_brand_impression_share_lag_10,sem_brand_impression_share_lag_11
2023-W45,0.0,1971.0,3636.0,0.0,0.0,744.0,1284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W46,0.0,1724.0,3515.0,0.0,0.0,685.0,1317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W47,0.0,1279.0,2871.0,0.0,0.0,502.0,954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W48,0.0,1956.0,3738.0,0.0,0.0,737.0,1316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W49,0.0,1776.0,3678.0,0.0,0.0,659.0,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W50,0.0,1664.0,3495.0,0.0,0.0,630.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W51,414.0,1323.0,2916.0,0.8139292416017548,151.0,507.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W52,1083.0,1547.0,3560.0,0.5926568612216419,365.0,572.0,1171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-W01,1388.0,2088.0,4381.0,0.5721278565942658,415.0,670.0,1274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-W02,1623.0,1591.0,3579.0,0.716608397168406,510.0,525.0,1008.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8139292416017548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-W03,1808.0,1551.0,3548.0,0.7400057379380981,611.0,522.0,1056.0,1083.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5926568612216419,0.8139292416017548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-W04,1821.0,1354.0,3427.0,0.7418533055036131,601.0,448.0,992.0,1388.0,1083.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5721278565942658,0.5926568612216419,0.8139292416017548,0.0,0.0,0.0,0.0,0.0,0.0
2024-W05,1708.0,1426.0,3329.0,0.7232328640297613,572.0,502.0,1029.0,1623.0,1388.0,1083.0,414.0,0.0,0.0,0.0,0.0,0.0,0.716608397168406,0.5721278565942658,0.5926568612216419,0.8139292416017548,0.0,0.0,0.0,0.0,0.0
2024-W06,1717.0,1334.0,3010.0,0.7436922412253724,540.0,464.0,896.0,1808.0,1623.0,1388.0,1083.0,414.0,0.0,0.0,0.0,0.0,0.7400057379380981,0.716608397168406,0.5721278565942658,0.5926568612216419,0.8139292416017548,0.0,0.0,0.0,0.0
2024-W07,1687.0,1358.0,3074.0,0.7038081406024038,510.0,415.0,881.0,1821.0,1808.0,1623.0,1388.0,1083.0,414.0,0.0,0.0,0.0,0.7418533055036131,0.7400057379380981,0.716608397168406,0.5721278565942658,0.5926568612216419,0.8139292416017548,0.0,0.0,0.0
2024-W08,1495.0,1372.0,2991.0,0.5501911551432525,460.0,428.0,951.0,1708.0,1821.0,1808.0,1623.0,1388.0,1083.0,414.0,0.0,0.0,0.7232328640297613,0.7418533055036131,0.7400057379380981,0.716608397168406,0.5721278565942658,0.5926568612216419,0.8139292416017548,0.0,0.0
2024-W09,1558.0,1152.0,2815.0,0.587412891226279,540.0,447.0,940.0,1717.0,1708.0,1821.0,1808.0,1623.0,1388.0,1083.0,414.0,0.0,0.7436922412253724,0.7232328640297613,0.7418533055036131,0.7400057379380981,0.716608397168406,0.5721278565942658,0.5926568612216419,0.8139292416017548,0.0
2024-W10,1589.0,1112.0,2551.0,0.5844833182430504,517.0,432.0,855.0,1687.0,1717.0,1708.0,1821.0,1808.0,1623.0,1388.0,1083.0,414.0,0.7038081406024038,0.7436922412253724,0.7232328640297613,0.7418533055036131,0.7400057379380981,0.716608397168406,0.5721278565942658,0.5926568612216419,0.8139292416017548
2024-W11,966.0,577.0,1124.0,0.5887076590570115,518.0,402.0,920.0,1495.0,1687.0,1717.0,1708.0,1821.0,1808.0,1623.0,1388.0,1083.0,0.5501911551432525,0.7038081406024038,0.7436922412253724,0.7232328640297613,0.7418533055036131,0.7400057379380981,0.716608397168406,0.5721278565942658,0.5926568612216419
2024-W12,1000.0,358.0,820.0,0.5684256499592617,650.0,365.0,809.0,1558.0,1495.0,1687.0,1717.0,1708.0,1821.0,1808.0,1623.0,1388.0,0.587412891226279,0.5501911551432525,0.7038081406024038,0.7436922412253724,0.7232328640297613,0.7418533055036131,0.7400057379380981,0.716608397168406,0.5721278565942658
2024-W13,890.0,351.0,677.0,0.7142249361972673,571.0,315.0,718.0,1589.0,1558.0,1495.0,1687.0,1717.0,1708.0,1821.0,1808.0,1623.0,0.5844833182430504,0.587412891226279,0.5501911551432525,0.7038081406024038,0.7436922412253724,0.7232328640297613,0.7418533055036131,0.7400057379380981,0.716608397168406
2024-W14,1009.0,358.0,796.0,0.8050062115135254,656.0,257.0,788.0,966.0,1589.0,1558.0,1495.0,1687.0,1717.0,1708.0,1821.0,1808.0,0.5887076590570115,0.5844833182430504,0.587412891226279,0.5501911551432525,0.7038081406024038,0.7436922412253724,0.7232328640297613,0.7418533055036131,0.7400057379380981
2024-W15,1027.0,458.0,802.0,0.5050469840017616,588.0,321.0,848.0,1000.0,966.0,1589.0,1558.0,1495.0,1687.0,1717.0,1708.0,1821.0,0.5684256499592617,0.5887076590570115,0.5844833182430504,0.587412891226279,0.5501911551432525,0.7038081406024038,0.7436922412253724,0.7232328640297613,0.7418533055036131
2024-W16,1129.0,425.0,852.0,0.7968776403049925,560.0,316.0,842.0,890.0,1000.0,966.0,1589.0,1558.0,1495.0,1687.0,1717.0,1708.0,0.7142249361972673,0.5684256499592617,0.5887076590570115,0.5844833182430504,0.587412891226279,0.5501911551432525,0.7038081406024038,0.7436922412253724,0.7232328640297613
2024-W17,1205.0,518.0,807.0,0.7225436917191586,549.0,394.0,826.0,1009.0,890.0,1000.0,966.0,1589.0,1558.0,1495.0,1687.0,1717.0,0.8050062115135254,0.7142249361972673,0.5684256499592617,0.5887076590570115,0.5844833182430504,0.587412891226279,0.5501911551432525,0.7038081406024038,0.7436922412253724
2024-W18,1292.0,435.0,914.0,0.7372858113467019,556.0,265.0,982.0,1027.0,1009.0,890.0,1000.0,966.0,1589.0,1558.0,1495.0,1687.0,0.5050469840017616,0.8050062115135254,0.7142249361972673,0.5684256499592617,0.5887076590570115,0.5844833182430504,0.587412891226279,0.5501911551432525,0.7038081406024038
2024-W19,1307.0,335.0,964.0,0.6845918849317968,528.0,176.0,1125.0,1129.0,1027.0,1009.0,890.0,1000.0,966.0,1589.0,1558.0,1495.0,0.7968776403049925,0.5050469840017616,0.8050062115135254,0.7142249361972673,0.5684256499592617,0.5887076590570115,0.5844833182430504,0.587412891226279,0.5501911551432525
2024-W20,1316.0,311.0,825.0,0.615774976723762,489.0,184.0,1003.0,1205.0,1129.0,1027.0,1009.0,890.0,1000.0,966.0,1589.0,1558.0,0.7225436917191586,0.7968776403049925,0.5050469840017616,0.8050062115135254,0.7142249361972673,0.5684256499592617,0.5887076590570115,0.5844833182430504,0.587412891226279
2024-W21,1307.0,305.0,767.0,0.6906878275464587,438.0,144.0,806.0,1292.0,1205.0,1129.0,1027.0,1009.0,890.0,1000.0,966.0,1589.0,0.7372858113467019,0.7225436917191586,0.7968776403049925,0.5050469840017616,0.8050062115135254,0.7142249361972673,0.5684256499592617,0.5887076590570115,0.5844833182430504
2024-W22,1634.0,341.0,799.0,0.6478971294568362,436.0,182.0,797.0,1307.0,1292.0,1205.0,1129.0,1027.0,1009.0,890.0,1000.0,966.0,0.6845918849317968,0.7372858113467019,0.7225436917191586,0.7968776403049925,0.5050469840017616,0.8050062115135254,0.7142249361972673,0.5684256499592617,0.5887076590570115
2024-W23,1648.0,340.0,839.0,0.740653367658959,534.0,225.0,954.0,1316.0,1307.0,1292.0,1205.0,1129.0,1027.0,1009.0,890.0,1000.0,0.615774976723762,0.6845918849317968,0.7372858113467019,0.7225436917191586,0.7968776403049925,0.5050469840017616,0.8050062115135254,0.7142249361972673,0.5684256499592617
2024-W24,1576.0,296.0,814.0,0.7306173264036753,456.0,202.0,959.0,1307.0,1316.0,1307.0,1292.0,1205.0,1129.0,1027.0,1009.0,890.0,0.6906878275464587,0.615774976723762,0.6845918849317968,0.7372858113467019,0.7225436917191586,0.7968776403049925,0.5050469840017616,0.8050062115135254,0.7142249361972673
2024-W25,1304.0,254.0,595.0,0.7191371815788908,383.0,158.0,680.0,1634.0,1307.0,1316.0,1307.0,1292.0,1205.0,1129.0,1027.0,1009.0,0.6478971294568362,0.6906878275464587,0.615774976723762,0.6845918849317968,0.7372858113467019,0.7225436917191586,0.7968776403049925,0.5050469840017616,0.8050062115135254
2024-W26,1263.0,325.0,670.0,0.7293178403831214,506.0,212.0,906.0,1648.0,1634.0,1307.0,1316.0,1307.0,1292.0,1205.0,1129.0,1027.0,0.740653367658959,0.6478971294568362,0.6906878275464587,0.615774976723762,0.6845918849317968,0.7372858113467019,0.7225436917191586,0.7968776403049925,0.5050469840017616
2024-W27,1690.0,317.0,708.0,0.716566871008893,504.0,230.0,932.0,1576.0,1648.0,1634.0,1307.0,1316.0,1307.0,1292.0,1205.0,1129.0,0.7306173264036753,0.740653367658959,0.6478971294568362,0.6906878275464587,0.615774976723762,0.6845918849317968,0.7372858113467019,0.7225436917191586,0.7968776403049925
2024-W28,1837.0,332.0,787.0,0.7892774537169139,613.0,234.0,984.0,1304.0,1576.0,1648.0,1634.0,1307.0,1316.0,1307.0,1292.0,1205.0,0.7191371815788908,0.7306173264036753,0.740653367658959,0.6478971294568362,0.6906878275464587,0.615774976723762,0.6845918849317968,0.7372858113467019,0.7225436917191586
2024-W29,1704.0,307.0,760.0,0.8213764656312985,678.0,274.0,1062.0,1263.0,1304.0,1576.0,1648.0,1634.0,1307.0,1316.0,1307.0,1292.0,0.7293178403831214,0.7191371815788908,0.7306173264036753,0.740653367658959,0.6478971294568362,0.6906878275464587,0.615774976723762,0.6845918849317968,0.7372858113467019
2024-W30,1831.0,312.0,766.0,0.8316684508578768,697.0,258.0,830.0,1690.0,1263.0,1304.0,1576.0,1648.0,1634.0,1307.0,1316.0,1307.0,0.716566871008893,0.7293178403831214,0.7191371815788908,0.7306173264036753,0.740653367658959,0.6478971294568362,0.6906878275464587,0.615774976723762,0.6845918849317968
2024-W31,1899.0,340.0,789.0,0.8343312560122291,747.0,322.0,866.0,1837.0,1690.0,1263.0,1304.0,1576.0,1648.0,1634.0,1307.0,1316.0,0.7892774537169139,0.716566871008893,0.7293178403831214,0.7191371815788908,0.7306173264036753,0.740653367658959,0.6478971294568362,0.6906878275464587,0.615774976723762
2024-W32,1800.0,365.0,837.0,0.8295676045855046,751.0,317.0,881.0,1704.0,1837.0,1690.0,1263.0,1304.0,1576.0,1648.0,1634.0,1307.0,0.8213764656312985,0.7892774537169139,0.716566871008893,0.7293178403831214,0.7191371815788908,0.7306173264036753,0.740653367658959,0.6478971294568362,0.6906878275464587
2024-W33,1742.0,329.0,782.0,0.8217683926486347,783.0,310.0,937.0,1831.0,1704.0,1837.0,1690.0,1263.0,1304.0,1576.0,1648.0,1634.0,0.8316684508578768,0.8213764656312985,0.7892774537169139,0.716566871008893,0.7293178403831214,0.7191371815788908,0.7306173264036753,0.740653367658959,0.6478971294568362
2024-W34,1777.0,351.0,775.0,0.8274156853253125,803.0,357.0,868.0,1899.0,1831.0,1704.0,1837.0,1690.0,1263.0,1304.0,1576.0,1648.0,0.8343312560122291,0.8316684508578768,0.8213764656312985,0.7892774537169139,0.716566871008893,0.7293178403831214,0.7191371815788908,0.7306173264036753,0.740653367658959
2024-W35,1470.0,368.0,743.0,0.8350799876016838,725.0,364.0,843.0,1800.0,1899.0,1831.0,1704.0,1837.0,1690.0,1263.0,1304.0,1576.0,0.8295676045855046,0.8343312560122291,0.8316684508578768,0.8213764656312985,0.7892774537169139,0.716566871008893,0.7293178403831214,0.7191371815788908,0.7306173264036753
2024-W36,1565.0,324.0,810.0,0.8625414957515602,951.0,338.0,965.0,1742.0,1800.0,1899.0,1831.0,1704.0,1837.0,1690.0,1263.0,1304.0,0.8217683926486347,0.8295676045855046,0.8343312560122291,0.8316684508578768,0.8213764656312985,0.7892774537169139,0.716566871008893,0.7293178403831214,0.7191371815788908
2024-W37,1647.0,329.0,756.0,0.8578226938339946,796.0,328.0,813.0,1777.0,1742.0,1800.0,1899.0,1831.0,1704.0,1837.0,1690.0,1263.0,0.8274156853253125,0.8217683926486347,0.8295676045855046,0.8343312560122291,0.8316684508578768,0.8213764656312985,0.7892774537169139,0.716566871008893,0.7293178403831214
2024-W38,1654.0,287.0,671.0,0.8398190395509603,785.0,277.0,714.0,1470.0,1777.0,1742.0,1800.0,1899.0,1831.0,1704.0,1837.0,1690.0,0.8350799876016838,0.8274156853253125,0.8217683926486347,0.8295676045855046,0.8343312560122291,0.8316684508578768,0.8213764656312985,0.7892774537169139,0.716566871008893
2024-W39,1705.0,274.0,642.0,0.8418816182890412,743.0,311.0,707.0,1565.0,1470.0,1777.0,1742.0,1800.0,1899.0,1831.0,1704.0,1837.0,0.8625414957515602,0.8350799876016838,0.8274156853253125,0.8217683926486347,0.8295676045855046,0.8343312560122291,0.8316684508578768,0.8213764656312985,0.7892774537169139
2024-W40,1813.0,312.0,651.0,0.8579551547277706,778.0,305.0,672.0,1647.0,1565.0,1470.0,1777.0,1742.0,1800.0,1899.0,1831.0,1704.0,0.8578226938339946,0.8625414957515602,0.8350799876016838,0.8274156853253125,0.8217683926486347,0.8295676045855046,0.8343312560122291,0.8316684508578768,0.8213764656312985
